0,0.52888
2.95,0.24824
6.1667,0.186
8.9333,0.13968
12.117,0.13473
15.033,0.12395
18.083,0.10049
21.017,0.09483
24.033,0.10012
27.3,0.1037
30.333,0.086765
33.017,0.09431
36.15,0.095079
39,0.088461
42.05,0.09046
44.967,0.091178
48.017,0.088031
51,0.08314
54.05,0.086542
57,0.084767
60.067,0.073392
66.033,0.067497
72.067,0.063054
78.033,0.059215
84.067,0.064076
90.083,0.061554
96,0.06052
102.08,0.05847
108.08,0.058665
114.07,0.057173
120.1,0.053753
126.1,0.047869
132.12,0.050075
137.9,0.04843
144.05,0.044349
150.13,0.050048
156.15,0.044478
162.02,0.047786
168.17,0.040324
174.03,0.03542
179.97,0.038618
186.6,0.03915
192.02,0.039633
198,0.033635
204.17,0.037221
210.03,0.034945
216.07,0.038058
221.85,0.038147
227.8,0.041337
234.07,0.044947
240.02,0.044583
245.87,0.042326
252.02,0.043017
258,0.03725
264.02,0.038951
270.27,0.039521
276.03,0.040221
282.07,0.039009
