2.950e+00,2.305e-01
6.167e+00,1.827e-01
8.933e+00,1.614e-01
1.212e+01,1.452e-01
1.503e+01,1.344e-01
1.808e+01,1.256e-01
2.102e+01,1.187e-01
2.403e+01,1.128e-01
2.730e+01,1.074e-01
3.033e+01,1.031e-01
3.302e+01,9.968e-02
3.615e+01,9.615e-02
3.900e+01,9.326e-02
4.205e+01,9.046e-02
4.497e+01,8.802e-02
4.802e+01,8.568e-02
5.100e+01,8.357e-02
5.405e+01,8.157e-02
5.700e+01,7.978e-02
6.007e+01,7.805e-02
6.603e+01,7.498e-02
7.207e+01,7.224e-02
7.803e+01,6.981e-02
8.407e+01,6.760e-02
9.008e+01,6.560e-02
9.600e+01,6.380e-02
1.021e+02,6.210e-02
1.081e+02,6.055e-02
1.141e+02,5.912e-02
1.201e+02,5.778e-02
1.261e+02,5.654e-02
1.321e+02,5.537e-02
1.379e+02,5.431e-02
1.441e+02,5.326e-02
1.501e+02,5.227e-02
1.562e+02,5.135e-02
1.620e+02,5.049e-02
1.682e+02,4.964e-02
1.740e+02,4.887e-02
1.800e+02,4.813e-02
1.866e+02,4.734e-02
1.920e+02,4.672e-02
1.980e+02,4.606e-02
2.042e+02,4.542e-02
2.100e+02,4.483e-02
2.161e+02,4.424e-02
2.218e+02,4.371e-02
2.278e+02,4.317e-02
2.341e+02,4.263e-02
2.400e+02,4.214e-02
2.459e+02,4.167e-02
2.520e+02,4.119e-02
2.580e+02,4.074e-02
2.640e+02,4.031e-02
